startdate._.Date started,socio4qde._.Please select the range of your salary,socio4qnl._.Please select the range of your salary,socio4quk._.Please select the range of your salary,socio4qus._.Please select the range of your salary,socio4qzaf._.Please select the range of your salary,socio4qnzl._.Please select the range of your salary,socio4qaus._.Please select the range of your salary
2018-09-18 17:48:21,,,"≥ £32,277 and < £43,325",,,,
2018-09-19 02:18:41,,,,,,,"≥ AUD 120,000"
2018-09-19 14:56:28,,,"≥ £32,277 and < £43,325",,,,
2018-09-19 15:53:31,,,"≥ £43,325 and < £58,172",,,,
2018-09-19 18:03:34,,,"≥ £32,277 and < £43,325",,,,
2018-09-20 05:22:24,,,,,,"≥ NZD 85,000 and < NZD 105,000",
2018-09-20 05:39:00,,,,,,"≥ NZD 85,000 and < NZD 105,000",
2018-09-20 08:25:39,,,,,,"≥ NZD 85,000 and < NZD 105,000",
2018-09-20 08:41:55,,,"≥ £43,325 and < £58,172",,,,
2018-09-20 09:39:27,,Between 77.000 and 109.999 EUR,,,,,
2018-09-20 11:06:59,,,"≥ £32,277 and < £43,325",,,,
2018-09-20 12:23:50,,,"< £18,031",,,,
2018-09-20 16:41:23,,,,"More than $150,000",,,
2018-09-21 13:56:40,,,"≥ £43,325 and < £58,172",,,,
2018-09-21 16:17:44,,,"≥ £32,277 and < £43,325",,,,
2018-09-24 01:25:57,,,,,,,"≥ AUD 65,000 and < AUD 85,000"
2018-09-24 02:08:06,,,,,,"< NZD 45,000",
2018-09-24 06:41:59,,,,,,"< NZD 45,000",
2018-09-24 15:15:06,,,"≥ £32,277 and < £43,325",,,,
2018-09-24 15:17:22,,,"≥ £32,277 and < £43,325",,,,
2018-09-24 15:17:44,,,,,,,
2018-09-24 15:18:29,,,"≥ £32,277 and < £43,325",,,,
2018-09-24 15:20:31,,,"≥ £32,277 and < £43,325",,,,
2018-09-24 15:22:07,,,"≥ £43,325 and < £58,172",,,,
2018-09-24 15:30:22,,,"≥ £32,277 and < £43,325",,,,
2018-09-24 15:35:26,,,"≥ £32,277 and < £43,325",,,,
2018-09-24 15:39:06,,,"≥ £43,325 and < £58,172",,,,
2018-09-24 15:40:23,,,"≥ £24,057 and < £32,277",,,,
2018-09-24 15:57:18,,,,,,,
2018-09-24 16:09:03,,,"< £18,031",,,,
2018-09-24 16:28:12,,,,,,,
2018-09-24 18:29:46,,,"≥ £32,277 and < £43,325",,,,
2018-09-24 18:50:41,,,,,,,
2018-09-25 06:08:35,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
2018-09-25 08:20:44,,,"≥ £32,277 and < £43,325",,,,
2018-09-25 09:21:12,,,"≥ £32,277 and < £43,325",,,,
2018-09-25 09:50:11,,,"≥ £43,325 and < £58,172",,,,
2018-09-25 09:59:32,,Prefer not to say,,,,,
2018-09-25 10:48:16,,,"< £18,031",,,,
2018-09-25 11:08:34,,,"≥ £58,172",,,,
2018-09-25 19:57:17,,,"≥ £58,172",,,,
2018-09-26 06:18:30,,,,"From $50,000 to $69,999",,,
2018-09-26 11:01:20,,Between 44.000 and 49.999 EUR,,,,,
2018-09-26 12:27:40,,,,,,,
2018-09-26 15:33:14,,,,,,,
2018-09-26 17:29:06,,,,,,,
2018-09-27 09:09:58,,Between 55.000 and 65.999 EUR,,,,,
2018-09-27 09:54:32,,,"≥ £43,325 and < £58,172",,,,
2018-09-27 10:52:58,,,,,,,
2018-09-27 12:20:50,,,,,,,
2018-09-27 13:06:46,,,"≥ £32,277 and < £43,325",,,,
2018-09-27 13:26:24,,,"≥ £32,277 and < £43,325",,,,
2018-09-27 13:48:09,,,,,,,
2018-09-28 12:25:41,,,,,,,
2018-09-28 13:39:14,,Between 38.500 and 43.999 EUR,,,,,
2018-09-28 14:02:14,,,,,,,
2018-09-28 14:23:10,,Between 38.500 and 43.999 EUR,,,,,
2018-09-30 14:07:26,,,"≥ £58,172",,,,
2018-10-01 09:41:24,,Prefer not to say,,,,,
2018-10-01 10:33:24,,Between 44.000 and 49.999 EUR,,,,,
2018-10-01 13:02:38,,,"≥ £32,277 and < £43,325",,,,
2018-10-01 15:42:12,,,,,,,
2018-10-01 16:02:36,,,,,,,
2018-10-01 16:08:17,,,"≥ £43,325 and < £58,172",,,,
2018-10-01 16:14:26,,,"≥ £32,277 and < £43,325",,,,
2018-10-01 16:14:44,,,,,,,
2018-10-01 16:38:32,,,,,,,
2018-10-01 16:49:49,,,"≥ £32,277 and < £43,325",,,,
2018-10-01 16:55:36,,,"≥ £58,172",,,,
2018-10-01 17:29:44,,,"≥ £32,277 and < £43,325",,,,
2018-10-02 01:42:15,,,,,,,
2018-10-02 09:51:57,,,"≥ £24,057 and < £32,277",,,,
2018-10-02 10:18:59,,,"≥ £32,277 and < £43,325",,,,
2018-10-02 14:31:49,,,,,,,
2018-10-02 16:06:02,,,"< £18,031",,,,
2018-10-02 17:45:04,,,"≥ £24,057 and < £32,277",,,,
2018-10-03 01:11:21,,,"≥ £32,277 and < £43,325",,,,
2018-10-04 08:36:38,,,"≥ £32,277 and < £43,325",,,,
2018-10-04 11:57:11,,,,,,,
2018-10-06 17:58:58,,,,"More than $150,000",,,
2018-10-08 01:22:41,,,,,,,
2018-10-08 14:03:54,,Between 38.500 and 43.999 EUR,,,,,
2018-10-11 00:01:28,,,,,,"≥ NZD 45,000 and < NZD 65,000",
2018-10-11 04:54:30,,,,,,"≥ NZD 85,000 and < NZD 105,000",
2018-10-11 05:33:24,,,,,,"≥ NZD 65,000 and < NZD 85,000",
2018-10-12 03:20:31,,,,,,"≥ NZD 85,000 and < NZD 105,000",
2018-10-12 12:21:14,,Between 27.500 and 32.999 EUR,,,,,
2018-10-12 12:41:31,,Between 55.000 and 65.999 EUR,,,,,
2018-10-12 13:17:32,,,,,,,
2018-10-12 13:44:00,,Between 44.000 and 49.999 EUR,,,,,
2018-10-12 16:01:47,,Between 27.500 and 32.999 EUR,,,,,
2018-10-12 17:58:28,,Between 50.000 and 54.999 EUR,,,,,
2018-10-12 21:31:03,,Between 44.000 and 49.999 EUR,,,,,
2018-10-13 00:41:31,,Prefer not to say,,,,,
2018-10-14 14:52:33,,Between 38.500 and 43.999 EUR,,,,,
2018-10-14 21:01:07,,Between 66.000 and 76.999 EUR,,,,,
2018-10-15 09:39:02,,Between 33.000 and 38.499 EUR,,,,,
2018-10-15 12:06:15,,Between 33.000 and 38.499 EUR,,,,,
2018-10-15 12:20:09,Between 44.000 and 49.999 EUR,,,,,,
2018-10-15 13:27:19,,,"≥ £43,325 and < £58,172",,,,
2018-10-16 13:32:55,,Between 33.000 and 38.499 EUR,,,,,
2018-10-17 10:39:27,,Prefer not to say,,,,,
2018-10-17 19:53:09,,Between 44.000 and 49.999 EUR,,,,,
2018-10-19 00:44:46,,,,,,"≥ NZD 45,000 and < NZD 65,000",
2018-10-20 18:13:02,Between 50.000 and 54.999 EUR,,,,,,
